"","rnaDate","rnaPreparer","rnaSampleNumber","s1cDNADate","s1cDNAPreparer","s1cDNASampleNumber","polyAIsolationProtocol","s1Protocol","roboticS1Prep","s1PrimerSeq"
"33","05.29.19","J.PLAGGENBERG",33,"05.31.19","J.PLAGGENBERG",33,"NEBNextPoly(A)E7490","E7760","No","random"
"34","05.29.19","J.PLAGGENBERG",34,"05.31.19","J.PLAGGENBERG",34,"NEBNextPoly(A)E7490","E7760","No","random"
"35","05.29.19","J.PLAGGENBERG",35,"05.31.19","J.PLAGGENBERG",35,"NEBNextPoly(A)E7490","E7760","No","random"
"36","05.29.19","J.PLAGGENBERG",36,"05.31.19","J.PLAGGENBERG",36,"NEBNextPoly(A)E7490","E7760","No","random"
"37","05.29.19","J.PLAGGENBERG",1,"06.14.19","J.PLAGGENBERG",1,"NEBNextPoly(A)E7490","E7760","No","random"
"38","05.29.19","J.PLAGGENBERG",2,"06.14.19","J.PLAGGENBERG",2,"NEBNextPoly(A)E7490","E7760","No","random"
"39","05.29.19","J.PLAGGENBERG",3,"06.14.19","J.PLAGGENBERG",3,"NEBNextPoly(A)E7490","E7760","No","random"
"40","05.29.19","J.PLAGGENBERG",4,"06.14.19","J.PLAGGENBERG",4,"NEBNextPoly(A)E7490","E7760","No","random"
"41","05.29.19","J.PLAGGENBERG",5,"06.14.19","J.PLAGGENBERG",5,"NEBNextPoly(A)E7490","E7760","No","random"
"42","05.29.19","J.PLAGGENBERG",6,"06.14.19","J.PLAGGENBERG",6,"NEBNextPoly(A)E7490","E7760","No","random"
"43","05.29.19","J.PLAGGENBERG",7,"06.14.19","J.PLAGGENBERG",7,"NEBNextPoly(A)E7490","E7760","No","random"
"44","05.29.19","J.PLAGGENBERG",8,"06.14.19","J.PLAGGENBERG",8,"NEBNextPoly(A)E7490","E7760","No","random"
"45","05.29.19","J.PLAGGENBERG",9,"06.14.19","J.PLAGGENBERG",9,"NEBNextPoly(A)E7490","E7760","No","random"
"46","05.29.19","J.PLAGGENBERG",10,"06.14.19","J.PLAGGENBERG",10,"NEBNextPoly(A)E7490","E7760","No","random"
"47","05.29.19","J.PLAGGENBERG",11,"06.14.19","J.PLAGGENBERG",11,"NEBNextPoly(A)E7490","E7760","No","random"
"48","05.29.19","J.PLAGGENBERG",12,"06.14.19","J.PLAGGENBERG",12,"NEBNextPoly(A)E7490","E7760","No","random"
"49","05.29.19","J.PLAGGENBERG",13,"06.14.19","J.PLAGGENBERG",13,"NEBNextPoly(A)E7490","E7760","No","random"
"50","05.29.19","J.PLAGGENBERG",14,"06.14.19","J.PLAGGENBERG",14,"NEBNextPoly(A)E7490","E7760","No","random"
"51","05.29.19","J.PLAGGENBERG",15,"06.14.19","J.PLAGGENBERG",15,"NEBNextPoly(A)E7490","E7760","No","random"
"52","05.29.19","J.PLAGGENBERG",16,"06.14.19","J.PLAGGENBERG",16,"NEBNextPoly(A)E7490","E7760","No","random"
"53","05.29.19","J.PLAGGENBERG",17,"06.14.19","J.PLAGGENBERG",17,"NEBNextPoly(A)E7490","E7760","No","random"
"54","05.29.19","J.PLAGGENBERG",18,"06.14.19","J.PLAGGENBERG",18,"NEBNextPoly(A)E7490","E7760","No","random"
"55","05.29.19","J.PLAGGENBERG",19,"06.14.19","J.PLAGGENBERG",19,"NEBNextPoly(A)E7490","E7760","No","random"
"56","05.29.19","J.PLAGGENBERG",20,"06.14.19","J.PLAGGENBERG",20,"NEBNextPoly(A)E7490","E7760","No","random"
"57","05.29.19","J.PLAGGENBERG",21,"06.14.19","J.PLAGGENBERG",21,"NEBNextPoly(A)E7490","E7760","No","random"
"58","05.29.19","J.PLAGGENBERG",22,"06.14.19","J.PLAGGENBERG",22,"NEBNextPoly(A)E7490","E7760","No","random"
"59","05.29.19","J.PLAGGENBERG",23,"06.14.19","J.PLAGGENBERG",23,"NEBNextPoly(A)E7490","E7760","No","random"
"60","05.29.19","J.PLAGGENBERG",24,"06.14.19","J.PLAGGENBERG",24,"NEBNextPoly(A)E7490","E7760","No","random"
"61","05.29.19","J.PLAGGENBERG",25,"06.14.19","J.PLAGGENBERG",25,"NEBNextPoly(A)E7490","E7760","No","random"
"62","05.29.19","J.PLAGGENBERG",26,"06.14.19","J.PLAGGENBERG",26,"NEBNextPoly(A)E7490","E7760","No","random"
"63","05.29.19","J.PLAGGENBERG",27,"06.14.19","J.PLAGGENBERG",27,"NEBNextPoly(A)E7490","E7760","No","random"
"64","05.29.19","J.PLAGGENBERG",28,"06.14.19","J.PLAGGENBERG",28,"NEBNextPoly(A)E7490","E7760","No","random"
"65","05.29.19","J.PLAGGENBERG",29,"06.14.19","J.PLAGGENBERG",29,"NEBNextPoly(A)E7490","E7760","No","random"
"66","05.29.19","J.PLAGGENBERG",30,"06.14.19","J.PLAGGENBERG",30,"NEBNextPoly(A)E7490","E7760","No","random"
"67","05.29.19","J.PLAGGENBERG",31,"06.14.19","J.PLAGGENBERG",31,"NEBNextPoly(A)E7490","E7760","No","random"
"68","05.29.19","J.PLAGGENBERG",32,"06.14.19","J.PLAGGENBERG",32,"NEBNextPoly(A)E7490","E7760","No","random"
"69","05.29.19","J.PLAGGENBERG",33,"06.14.19","J.PLAGGENBERG",33,"NEBNextPoly(A)E7490","E7760","No","random"
"70","05.29.19","J.PLAGGENBERG",34,"06.14.19","J.PLAGGENBERG",34,"NEBNextPoly(A)E7490","E7760","No","random"
"71","05.29.19","J.PLAGGENBERG",35,"06.14.19","J.PLAGGENBERG",35,"NEBNextPoly(A)E7490","E7760","No","random"
"72","05.29.19","J.PLAGGENBERG",36,"06.14.19","J.PLAGGENBERG",36,"NEBNextPoly(A)E7490","E7760","No","random"
"73","06.21.19","J.PLAGGENBERG",1,"06.26.19","J.PLAGGENBERG",1,"NEBNextPoly(A)E7490","E7760","No","random"
"74","06.21.19","J.PLAGGENBERG",2,"06.26.19","J.PLAGGENBERG",2,"NEBNextPoly(A)E7490","E7760","No","random"
"75","06.21.19","J.PLAGGENBERG",3,"06.26.19","J.PLAGGENBERG",3,"NEBNextPoly(A)E7490","E7760","No","random"
"76","06.21.19","J.PLAGGENBERG",4,"06.26.19","J.PLAGGENBERG",4,"NEBNextPoly(A)E7490","E7760","No","random"
"77","06.21.19","J.PLAGGENBERG",5,"06.26.19","J.PLAGGENBERG",5,"NEBNextPoly(A)E7490","E7760","No","random"
