"","s1cDNADate","s1cDNAPreparer","s1cDNASampleNumber","s2cDNADate","s2cDNAPreparer","s2cDNASampleNumber","s2cDNAProtocol","roboticS2Prep"
"145","08.29.19","J.PLAGGENBERG",7,"08.29.19","J.PLAGGENBERG",7,"E7760","No"
"146","08.29.19","J.PLAGGENBERG",8,"08.29.19","J.PLAGGENBERG",8,"E7760","No"
"147","08.29.19","J.PLAGGENBERG",9,"08.29.19","J.PLAGGENBERG",9,"E7760","No"
"148","08.29.19","J.PLAGGENBERG",10,"08.29.19","J.PLAGGENBERG",10,"E7760","No"
"149","08.29.19","J.PLAGGENBERG",11,"08.29.19","J.PLAGGENBERG",11,"E7760","No"
"150","08.29.19","J.PLAGGENBERG",12,"08.29.19","J.PLAGGENBERG",12,"E7760","No"
"151","08.29.19","J.PLAGGENBERG",13,"08.29.19","J.PLAGGENBERG",13,"E7760","No"
"152","08.29.19","J.PLAGGENBERG",14,"08.29.19","J.PLAGGENBERG",14,"E7760","No"
"153","08.29.19","J.PLAGGENBERG",15,"08.29.19","J.PLAGGENBERG",15,"E7760","No"
"154","08.29.19","J.PLAGGENBERG",16,"08.29.19","J.PLAGGENBERG",16,"E7760","No"
"155","08.29.19","J.PLAGGENBERG",17,"08.29.19","J.PLAGGENBERG",17,"E7760","No"
"156","08.29.19","J.PLAGGENBERG",18,"08.29.19","J.PLAGGENBERG",18,"E7760","No"
"157","08.29.19","J.PLAGGENBERG",19,"08.29.19","J.PLAGGENBERG",19,"E7760","No"
"158","08.29.19","J.PLAGGENBERG",20,"08.29.19","J.PLAGGENBERG",20,"E7760","No"
"159","08.29.19","J.PLAGGENBERG",21,"08.29.19","J.PLAGGENBERG",21,"E7760","No"
"160","08.29.19","J.PLAGGENBERG",22,"08.29.19","J.PLAGGENBERG",22,"E7760","No"
"161","08.29.19","J.PLAGGENBERG",23,"08.29.19","J.PLAGGENBERG",23,"E7760","No"
"162","08.29.19","J.PLAGGENBERG",24,"08.29.19","J.PLAGGENBERG",24,"E7760","No"
"163","08.29.19","J.PLAGGENBERG",25,"08.29.19","J.PLAGGENBERG",25,"E7760","No"
"164","08.29.19","J.PLAGGENBERG",26,"08.29.19","J.PLAGGENBERG",26,"E7760","No"
"165","08.29.19","J.PLAGGENBERG",27,"08.29.19","J.PLAGGENBERG",27,"E7760","No"
"166","08.29.19","J.PLAGGENBERG",28,"08.29.19","J.PLAGGENBERG",28,"E7760","No"
"167","08.29.19","J.PLAGGENBERG",29,"08.29.19","J.PLAGGENBERG",29,"E7760","No"
"168","08.29.19","J.PLAGGENBERG",30,"08.29.19","J.PLAGGENBERG",30,"E7760","No"
"169","08.29.19","J.PLAGGENBERG",31,"08.29.19","J.PLAGGENBERG",31,"E7760","No"
"170","08.29.19","J.PLAGGENBERG",32,"08.29.19","J.PLAGGENBERG",32,"E7760","No"
"171","09.11.19","J.PLAGGENBERG",1,"09.11.19","J.PLAGGENBERG",1,"E7760","No"
"172","09.11.19","J.PLAGGENBERG",2,"09.11.19","J.PLAGGENBERG",2,"E7760","No"
"173","09.11.19","J.PLAGGENBERG",3,"09.11.19","J.PLAGGENBERG",3,"E7760","No"
"174","09.11.19","J.PLAGGENBERG",4,"09.11.19","J.PLAGGENBERG",4,"E7760","No"
"175","09.11.19","J.PLAGGENBERG",5,"09.11.19","J.PLAGGENBERG",5,"E7760","No"
"176","09.11.19","J.PLAGGENBERG",6,"09.11.19","J.PLAGGENBERG",6,"E7760","No"
"177","09.11.19","J.PLAGGENBERG",7,"09.11.19","J.PLAGGENBERG",7,"E7760","No"
"178","09.11.19","J.PLAGGENBERG",8,"09.11.19","J.PLAGGENBERG",8,"E7760","No"
"179","09.11.19","J.PLAGGENBERG",9,"09.11.19","J.PLAGGENBERG",9,"E7760","No"
"180","09.11.19","J.PLAGGENBERG",10,"09.11.19","J.PLAGGENBERG",10,"E7760","No"
"181","09.11.19","J.PLAGGENBERG",11,"09.11.19","J.PLAGGENBERG",11,"E7760","No"
"182","09.11.19","J.PLAGGENBERG",12,"09.11.19","J.PLAGGENBERG",12,"E7760","No"
"183","09.11.19","J.PLAGGENBERG",13,"09.11.19","J.PLAGGENBERG",13,"E7760","No"
"184","09.11.19","J.PLAGGENBERG",14,"09.11.19","J.PLAGGENBERG",14,"E7760","No"
"185","09.11.19","J.PLAGGENBERG",15,"09.11.19","J.PLAGGENBERG",15,"E7760","No"
"186","09.11.19","J.PLAGGENBERG",16,"09.11.19","J.PLAGGENBERG",16,"E7760","No"
